mp_id k_lattice
mp-782062 7.100882
mp-782034 9.570600
mp-776443 9.171730
mp-776408 7.591228
mp-776359 11.732451
mp-775939 7.316792
mp-1194612 3.956030
mp-1216049 15.836572
mp-1100878 9.989267
mp-6913 38.135102
mp-555913 7.728789
mp-989604 10.497740
mp-560118 9.016902
mp-1190839 10.639959
mp-1036013 35.439042
mp-1101170 13.116321
mp-753712 8.031325
mp-571442 2.241126
mp-504607 12.722281
mp-1207615 15.433721
mp-28797 40.799954
mp-754117 42.033553
mp-626151 18.465298
mp-756402 11.693862
mp-757207 10.535817
mp-23706 494828791.474698
mp-758103 13.348544
mp-23958 6.744461
mp-17853 16.606170
mp-1207603 26.593122
mp-2416 20.024894
mp-1191736 10.017715
mp-755109 10.743532
mp-1215985 23.581142
mp-1216053 8.714596
mp-945184 5.655488
mp-1100868 5.722168
mp-675902 13.996144
mp-10533 8.158574
mp-865203 6.094611
mp-542802 3.044076
mp-1333124 8.526371
mp-6972 42.382737
mp-2918 12.263486
mp-504864 11.602596
mp-17192 7.062222
mp-1178771 7.683042
mp-20450 25.132882
mp-552120 23.011066
mp-27985 21.696631
mp-27455 12.378315
mp-768906 17.680096
mp-754031 12.883953
mp-865605 5.497513
mp-754815 2.178102
mp-1215930 6.974791
mp-768221 9.671934
mp-754152 11.803562
mp-551816 7.255662
mp-552604 14.948340
mp-553243 8.057224
mp-1215909 21.181510
mp-29205 21.734660
mp-1100876 17.492147
mp-1100874 19.448447
mp-1178731 32.703188
mp-768961 12.762281
mp-1190755 9.733436
mp-7691 29.661684
mp-1195041 33.118725
mp-30251 28426536.476549
mp-1095603 5.235924
mp-2029557 11.307080
mp-1102959 48404792.935772
mp-8058 15.940714
mp-756705 24.472910
mp-756214 58.505898
mp-3792 23.599848
mp-540905 16.696761
mp-768572 22.908963
mp-6062 63.809883
mp-1247331 48.064772
mp-12903 4.988046
mp-1215907 4.931769
mp-937836 2.946435
mp-676284 4.166169
mp-1188559 3.765769
mp-1100873 0.945476
mp-2209741 3.010407
mp-1207671 4.134217
mp-1369676 7.170073
mp-561467 5.839490
mp-1376266 5.998998
mp-1207659 4.996998
mp-1047110 9.010315
mp-766267 13.196135
mp-1100882 9.576237
mp-38807 12.279938
mp-1216051 15.641933
mp-762307 13.327707
mp-619775 1.883727
mp-27129 6.875857
mp-1216198 7.144800
mp-1100887 4.020276
mp-1216132 14.551868
mp-1216118 14.497178
mp-19005 20.457746
mp-27698 14.536276
mp-754359 19.529276
mp-1207685 2.038352
mp-1189258 1.773897
mp-1105593 1.656765
mp-621825 3.440659
mp-758174 14.973899
mp-676605 12.782660
mp-1188535 1.895552
mp-1188648 2.737694
mp-1216096 13.756968
mp-1216115 14.540602
mp-28864 1.653561
mp-1216157 15.452373
mp-759638 6.176004
mp-1216168 9.462732
mp-675802 15.652727
mp-1216160 23.677334
mp-1216122 25.014990
mp-1194159 6.129300
mp-1216093 16.111348
mp-1216103 30.219060
mp-1216114 20.134152
mp-1029811 3.257362
mp-1029349 16.138924
mp-1246598 6.628423
mp-28744mp 7290.610802
mp-1246514 16.204637
mp-1207825 4.216102
mp-1207810 2.217123
mp-707981 11.061628
mp-769481 8.044141
mp-769480 6.996104
mp-769409 8.757858
mp-1216108 11.042884
mp-1207794 2.088349
mp-1200885 10.799995
mp-560927 15.385553
mp-5409 14.253954
mp-1207844 5.060706
mp-1193658 3.435090
mp-2901885 11.990587
mp-1190968 16.794621
mp-11321 10.224433
mp-1216099 11.674468
mp-1029652 11.481124
mp-558883 13.253456
mp-557092 11.020865
mp-1204472 5.611427
mp-1216069 40.881269
mp-981511 16.045070
mp-1207793 4.426749
mp-1216106 13.226736
mp-13627 10.024577
mp-38916 3.243200
mp-2763227 5.025704
mp-1201568 7.385559
mp-753727 2.168067
mp-1245407 6431383297.202069
mp-1189598 7.246917
mp-554722 21.687015
mp-1207821 5.582006
mp-17747 8.235432
mp-568638 6.023966
mp-561173 12.192500
mp-17916 5.550214
mp-556781 8.635701
mp-1106051 2.703552
mp-560029 11.030614
mp-1207856 4.952813
mp-754979 20.247839
mp-1101169 26.118090
mp-1191008 8.139100
mp-1216116 12.811010
mp-1197050 7.748310
mp-771043 13.722077
mp-558411 25.639885
mp-1101171 20.996132
mp-1001021 7.852328
mp-1001015 15.378016
mp-1194113 5.536780
mp-1246637 12.455804
mp-559510 10.195351
mp-30539 10.757683
mp-772529 10.118137
mp-772441 5.879635
mp-772342 0.752597
mp-770639 4.002358
mp-2912455 4.259267
mp-1216104 24.441839
mp-17559 10.777795
mp-1365383 17.481809
mp-25305 18.071343
mp-1216058 13.834401
mp-771238 12.764856
mp-768519 6.556659
mp-755549 23.081261
mp-755317 12.897328
mp-17066 11.738535
mp-755756 22.911807
mp-554852 3.629834
mp-684017 6.165808
mp-1189791 2.795300
mp-1197404 3.639541
mp-3370 11.281547
mp-1020615 23.143452
mp-554420 15.229894
mp-3520 16.476735
mp-556661 21.022985
mp-7999 57521996.620081
mp-561551 29.512692
mp-561531 31.028280
mp-556860 16.766977
mp-17404 18.360768
mp-755609 19.890388
mp-752658 39.808433
mp-673656 3.510707
mp-1105821 4.471950
mp-12894 55.915804
mp-541289 5.978997
mp-32891 9.588952
mp-1188645 8.175943
mp-8869 9.507237
mp-779456 3.456175
mp-1245981 4.887161
mp-752849 7.489635
mp-777514 18.871171
mp-775907 13.948445
mp-754759 34.309856
mp-558573 21.839763
mp-775906 9.235130
mp-13061 59.706679
mp-28580 7.515314
mp-31124 10.440115
mp-1203448 4.920870
mp-1204562 8.084147
mp-15803 4.950092
mp-1207485 36.521086
mp-1232204 3.725876
mp-1232199 5.206860
mp-1232196 6.273015
mp-1232187 7.889113
mp-1232032 6.879147
mp-1232031 9.934866
mp-1232030 19.627188
mp-1232029 6.410350
mp-1216083 12.320985
mp-29304 2.680867
mp-756103 9.184944
mp-755634 9.969517
mp-769289 3.130684
mp-755511 4.214263
mp-16919 4.629651
